Date,Time,Defect Rate
8/29/2024,58:10.3,12%
8/29/2024,58:09.3,10%
8/29/2024,58:08.4,8%
8/29/2024,58:07.5,13%
8/29/2024,58:06.6,10%
8/29/2024,58:05.7,13%
8/29/2024,58:04.8,12%
8/29/2024,58:03.9,15%
8/29/2024,58:03.0,15%
8/29/2024,58:02.1,11%
8/29/2024,58:01.3,12%
8/29/2024,58:00.3,10%
8/29/2024,57:59.3,15%
8/29/2024,57:58.4,5%
8/29/2024,57:57.5,9%
8/29/2024,57:56.6,8%
8/29/2024,57:55.7,7%
8/29/2024,57:54.8,6%
8/29/2024,57:53.8,8%
8/29/2024,57:52.9,5%
8/29/2024,57:52.0,12%
8/29/2024,57:51.1,10%
8/29/2024,57:50.2,9%
8/29/2024,57:49.3,7%
8/29/2024,57:48.4,13%
8/29/2024,57:47.5,10%
8/29/2024,57:46.6,11%
8/29/2024,57:45.6,8%
8/29/2024,57:44.7,8%
8/29/2024,57:43.8,11%
8/29/2024,57:42.9,10%
8/29/2024,57:42.0,13%
8/29/2024,57:41.1,5%
8/29/2024,57:40.3,10%
8/29/2024,57:39.3,14%
8/29/2024,57:38.4,10%
8/29/2024,57:37.4,12%
8/29/2024,57:36.5,15%
8/29/2024,57:35.6,8%
8/29/2024,57:34.7,10%
8/29/2024,57:33.8,6%
8/29/2024,57:32.9,12%
8/29/2024,57:32.0,7%
8/29/2024,57:31.1,9%
8/29/2024,57:30.2,11%
8/29/2024,57:29.2,8%
8/29/2024,57:28.3,11%
8/29/2024,57:27.4,13%
8/29/2024,57:26.5,10%
8/29/2024,57:25.6,8%
8/29/2024,57:24.7,10%
8/29/2024,57:23.8,6%
8/29/2024,57:22.9,12%
8/29/2024,57:22.0,5%
8/29/2024,57:21.0,5%
8/29/2024,57:20.1,13%
8/29/2024,57:19.2,6%
8/29/2024,57:18.5,9%
8/29/2024,57:17.4,13%
8/29/2024,57:16.5,14%
8/29/2024,57:15.6,6%
8/29/2024,57:14.7,9%
8/29/2024,57:14.0,12%
8/29/2024,57:12.8,9%
8/29/2024,57:11.9,15%
8/29/2024,57:11.0,9%
8/29/2024,57:10.1,7%
8/29/2024,57:09.2,14%
8/29/2024,57:08.3,5%
8/29/2024,57:07.4,9%
8/29/2024,57:06.5,13%
8/29/2024,57:05.5,11%
8/29/2024,57:04.6,12%
8/29/2024,57:03.7,6%
8/29/2024,57:02.8,14%
8/29/2024,57:01.9,15%
8/29/2024,57:01.0,13%
8/29/2024,57:00.1,13%
8/29/2024,56:59.2,12%
8/29/2024,56:58.3,12%
8/29/2024,56:57.4,13%
8/29/2024,56:56.4,7%
8/29/2024,56:55.5,9%
8/29/2024,56:54.6,6%
8/29/2024,56:53.7,7%
8/29/2024,56:52.8,6%
8/29/2024,56:52.0,11%
8/29/2024,56:51.0,9%
8/29/2024,56:50.1,15%
8/29/2024,56:49.1,11%
8/29/2024,56:48.2,9%
8/29/2024,56:47.3,13%
8/29/2024,56:46.4,11%
8/29/2024,56:45.5,11%
8/29/2024,56:44.6,15%
8/29/2024,56:43.7,13%
8/29/2024,56:42.8,10%
8/29/2024,56:42.0,13%
8/29/2024,56:40.9,15%
8/29/2024,56:40.0,5%
8/29/2024,56:39.1,8%
8/29/2024,56:38.2,10%
8/29/2024,56:37.3,13%
8/29/2024,56:36.4,10%
8/29/2024,56:35.5,11%
8/29/2024,56:34.6,14%
8/29/2024,56:33.6,8%
8/29/2024,56:32.7,12%
8/29/2024,56:31.9,5%
8/29/2024,56:30.9,11%
8/29/2024,56:30.0,14%
8/29/2024,56:29.1,13%
8/29/2024,56:28.2,9%
8/29/2024,56:27.3,11%
8/29/2024,56:26.4,15%
8/29/2024,56:25.5,14%
8/29/2024,56:24.5,9%
8/29/2024,56:23.8,6%
8/29/2024,56:22.7,5%
8/29/2024,56:21.8,5%
8/29/2024,56:20.9,14%
8/29/2024,56:20.0,13%
8/29/2024,56:19.1,6%
8/29/2024,56:18.2,6%
8/29/2024,56:17.2,11%
8/29/2024,56:16.4,10%
8/29/2024,56:15.4,10%
8/29/2024,56:14.5,7%
8/29/2024,56:13.6,6%
8/29/2024,56:12.7,14%
8/29/2024,56:11.8,5%
8/29/2024,56:10.9,12%
8/29/2024,56:09.9,14%
8/29/2024,56:09.1,13%
8/29/2024,56:08.2,13%
8/29/2024,56:07.2,7%
8/29/2024,56:06.3,9%
8/29/2024,56:05.4,12%
8/29/2024,56:04.5,5%
8/29/2024,56:03.6,8%
8/29/2024,56:02.7,8%
8/29/2024,56:01.7,6%
8/29/2024,56:01.0,5%
8/29/2024,55:59.9,12%
8/29/2024,55:59.0,5%
8/29/2024,55:58.1,6%
8/29/2024,55:57.2,6%
8/29/2024,55:56.3,15%
8/29/2024,55:55.4,5%
8/29/2024,55:54.4,12%
8/29/2024,55:53.5,15%
8/29/2024,55:52.6,13%
8/29/2024,55:51.8,6%
8/29/2024,55:50.8,8%
8/29/2024,55:49.9,9%
8/29/2024,55:49.0,8%
8/29/2024,55:48.1,12%
8/29/2024,55:47.2,7%
8/29/2024,55:46.2,15%
8/29/2024,55:45.3,8%
8/29/2024,55:44.4,11%
8/29/2024,55:43.5,7%
8/29/2024,55:42.6,11%
8/29/2024,55:41.7,7%
8/29/2024,55:40.8,6%
8/29/2024,55:39.9,8%
8/29/2024,55:39.0,9%
8/29/2024,55:38.2,6%
8/29/2024,55:37.1,6%
8/29/2024,55:36.2,10%
8/29/2024,55:35.3,15%
8/29/2024,55:34.4,11%
8/29/2024,55:33.5,13%
8/29/2024,55:32.6,8%
8/29/2024,55:31.7,15%
8/29/2024,55:30.8,6%
8/29/2024,55:29.9,5%
8/29/2024,55:28.9,5%
8/29/2024,55:28.1,15%
8/29/2024,55:27.1,5%
8/29/2024,55:26.2,11%
8/29/2024,55:25.3,9%
8/29/2024,55:24.4,12%
8/29/2024,55:23.5,12%
8/29/2024,55:22.6,10%
8/29/2024,55:21.6,14%
8/29/2024,55:20.7,8%
8/29/2024,55:20.0,11%
8/29/2024,55:18.9,5%
8/29/2024,55:18.0,7%
8/29/2024,55:17.1,5%
8/29/2024,55:16.2,14%
8/29/2024,55:15.3,12%
8/29/2024,55:14.4,11%
8/29/2024,55:13.4,5%
8/29/2024,55:12.5,13%
8/29/2024,55:11.6,11%
8/29/2024,55:10.7,6%
8/29/2024,55:09.8,10%
8/29/2024,55:08.9,6%
8/29/2024,55:08.0,13%
8/29/2024,55:07.1,12%
8/29/2024,55:06.2,13%
8/29/2024,55:05.3,14%
8/29/2024,55:04.3,9%
8/29/2024,55:03.4,5%
8/29/2024,55:02.5,11%
8/29/2024,55:01.6,11%
8/29/2024,55:00.7,12%
8/29/2024,54:59.9,13%
8/29/2024,54:58.9,8%
8/29/2024,54:57.9,8%
8/29/2024,54:57.0,12%
8/29/2024,54:56.1,14%
8/29/2024,54:55.2,7%
8/29/2024,54:54.3,15%
8/29/2024,54:53.4,13%
8/29/2024,54:52.5,9%
8/29/2024,54:51.6,7%
8/29/2024,54:50.7,15%
8/29/2024,54:49.7,12%
8/29/2024,54:48.8,15%
8/29/2024,54:47.9,8%
8/29/2024,54:47.0,6%
8/29/2024,54:46.1,15%
8/29/2024,54:45.2,15%
8/29/2024,54:44.3,9%
8/29/2024,54:43.4,15%
8/29/2024,54:42.4,7%
8/29/2024,54:41.5,14%
8/29/2024,54:40.8,12%
8/29/2024,54:39.7,7%
8/29/2024,54:38.8,5%
8/29/2024,54:37.9,15%
8/29/2024,54:37.0,6%
8/29/2024,54:36.1,7%
8/29/2024,54:35.2,9%
8/29/2024,54:34.3,13%
8/29/2024,54:33.4,11%
8/29/2024,54:32.4,11%
8/29/2024,54:31.5,7%
8/29/2024,54:30.6,10%
8/29/2024,54:29.7,15%
8/29/2024,54:28.8,15%
8/29/2024,54:27.9,5%
8/29/2024,54:27.0,13%
8/29/2024,54:26.1,11%
8/29/2024,54:25.1,6%
8/29/2024,54:24.2,12%
8/29/2024,54:23.3,5%
8/29/2024,54:22.4,8%
8/29/2024,54:21.5,11%
8/29/2024,54:20.6,10%
8/29/2024,54:19.7,11%
8/29/2024,54:18.8,15%
8/29/2024,54:17.8,10%
8/29/2024,54:16.9,9%
8/29/2024,54:16.0,12%
8/29/2024,54:15.1,5%
8/29/2024,54:14.2,13%
8/29/2024,54:13.3,11%
8/29/2024,54:12.4,5%
8/29/2024,54:11.5,12%
8/29/2024,54:10.6,13%
8/29/2024,54:09.6,11%
8/29/2024,54:08.7,10%
8/29/2024,54:07.8,11%
8/29/2024,54:06.9,5%
8/29/2024,54:06.0,8%
8/29/2024,54:05.1,12%
8/29/2024,54:04.2,7%
8/29/2024,54:03.3,12%
8/29/2024,54:02.4,9%
8/29/2024,54:01.4,12%
8/29/2024,54:00.5,14%
8/29/2024,53:59.6,5%
8/29/2024,53:58.7,14%
8/29/2024,53:57.8,15%
8/29/2024,53:56.9,11%
8/29/2024,53:56.0,8%
8/29/2024,53:55.1,13%
8/29/2024,53:54.2,14%
8/29/2024,53:53.2,11%
8/29/2024,53:52.3,11%
8/29/2024,53:51.4,6%
8/29/2024,53:50.5,6%
8/29/2024,53:49.6,10%
8/29/2024,53:48.7,6%
8/29/2024,53:47.8,7%
8/29/2024,53:46.9,10%
8/29/2024,53:46.0,8%
8/29/2024,53:45.1,12%
8/29/2024,53:44.1,13%
8/29/2024,53:43.2,15%
8/29/2024,53:42.3,9%
8/29/2024,53:41.4,13%
8/29/2024,53:40.5,11%
8/29/2024,53:39.6,15%
8/29/2024,53:38.7,6%
8/29/2024,53:37.7,5%
8/29/2024,53:36.8,13%
8/29/2024,53:35.9,10%
8/29/2024,53:35.2,6%
8/29/2024,53:34.1,5%
8/29/2024,53:33.2,13%
8/29/2024,53:32.3,6%
8/29/2024,53:31.4,5%
8/29/2024,53:30.5,15%
8/29/2024,53:29.5,15%
8/29/2024,53:28.6,6%
8/29/2024,53:27.7,5%
8/29/2024,53:26.8,10%
8/29/2024,53:25.9,7%
8/29/2024,53:25.0,12%
8/29/2024,53:24.1,13%
8/29/2024,53:23.2,10%
8/29/2024,53:22.2,10%
8/29/2024,53:21.4,9%
8/29/2024,53:20.4,13%
8/29/2024,53:19.5,14%
8/29/2024,53:18.6,6%
8/29/2024,53:17.7,8%
8/29/2024,53:17.0,5%
8/29/2024,53:15.9,11%
8/29/2024,53:15.0,13%
8/29/2024,53:14.1,12%
8/29/2024,53:13.1,8%
8/29/2024,53:12.2,8%
8/29/2024,53:11.3,7%
8/29/2024,53:10.4,14%
8/29/2024,53:09.5,13%
8/29/2024,53:08.6,9%
8/29/2024,53:07.7,7%
8/29/2024,53:06.8,14%
8/29/2024,53:05.8,15%
8/29/2024,53:04.9,10%
8/29/2024,53:04.0,8%
8/29/2024,53:03.1,8%
8/29/2024,53:02.2,5%
8/29/2024,53:01.3,9%
8/29/2024,53:00.4,10%
8/29/2024,52:59.5,13%
8/29/2024,52:58.6,7%
8/29/2024,52:57.6,7%
8/29/2024,52:56.7,15%
8/29/2024,52:55.8,6%
8/29/2024,52:54.9,7%
8/29/2024,52:54.0,9%
8/29/2024,52:53.1,6%
8/29/2024,52:52.2,10%
8/29/2024,52:51.3,8%
8/29/2024,52:50.4,14%
8/29/2024,52:49.4,5%
8/29/2024,52:48.5,11%
8/29/2024,52:47.7,6%
8/29/2024,52:46.7,11%
8/29/2024,52:45.8,13%
8/29/2024,52:44.9,9%
8/29/2024,52:44.0,11%
8/29/2024,52:43.1,12%
8/29/2024,52:42.1,10%
8/29/2024,52:41.2,9%
8/29/2024,52:40.3,5%
8/29/2024,52:39.4,8%
8/29/2024,52:38.5,12%
8/29/2024,52:37.6,10%
8/29/2024,52:36.7,6%
8/29/2024,52:35.8,8%
8/29/2024,52:34.9,10%
8/29/2024,52:33.9,10%
8/29/2024,52:33.0,13%
8/29/2024,52:32.1,15%
8/29/2024,52:31.2,8%
8/29/2024,52:30.3,14%
8/29/2024,52:29.4,7%
8/29/2024,52:28.5,8%
8/29/2024,52:27.6,14%
8/29/2024,52:26.7,9%
8/29/2024,52:25.7,14%
8/29/2024,52:24.8,5%
8/29/2024,52:23.9,12%
8/29/2024,52:23.0,5%
8/29/2024,52:22.1,10%
8/29/2024,52:21.2,7%
8/29/2024,52:20.3,6%
8/29/2024,52:19.4,11%
8/29/2024,52:18.5,13%
8/29/2024,52:17.5,6%
8/29/2024,52:16.6,14%
8/29/2024,52:15.7,14%
8/29/2024,52:14.8,15%
8/29/2024,52:13.9,10%
8/29/2024,52:13.0,14%
8/29/2024,52:12.1,12%
8/29/2024,52:11.2,6%
8/29/2024,52:10.2,6%
8/29/2024,52:09.4,5%
8/29/2024,52:08.4,15%
8/29/2024,52:07.5,14%
8/29/2024,52:06.6,8%
8/29/2024,52:05.7,6%
8/29/2024,52:04.8,6%
8/29/2024,52:03.9,9%
8/29/2024,52:03.0,8%
8/29/2024,52:02.1,12%
8/29/2024,52:01.1,5%
8/29/2024,52:00.2,11%
8/29/2024,51:59.3,6%
8/29/2024,51:58.4,14%
8/29/2024,51:57.5,8%
8/29/2024,51:56.6,13%
8/29/2024,51:55.7,9%
8/29/2024,51:54.8,13%
8/29/2024,51:53.9,13%
8/29/2024,51:53.0,12%
8/29/2024,51:52.0,11%
8/29/2024,51:51.2,9%
8/29/2024,51:50.2,15%
8/29/2024,51:49.3,6%
8/29/2024,51:48.4,7%
8/29/2024,51:47.5,11%
8/29/2024,51:46.6,11%
8/29/2024,51:45.8,14%
8/29/2024,51:44.7,7%
8/29/2024,51:43.8,5%
8/29/2024,51:42.9,8%
8/29/2024,51:42.0,14%
8/29/2024,51:41.1,9%
8/29/2024,51:40.2,8%
8/29/2024,51:39.3,10%
8/29/2024,51:38.4,11%
8/29/2024,51:37.4,12%
8/29/2024,51:36.6,9%
8/29/2024,51:35.6,6%
8/29/2024,51:34.7,15%
8/29/2024,51:33.8,6%
8/29/2024,51:32.9,9%
8/29/2024,51:32.0,10%
8/29/2024,51:31.1,12%
8/29/2024,51:30.2,8%
8/29/2024,51:29.3,14%
8/29/2024,51:28.3,12%
8/29/2024,51:27.6,6%
8/29/2024,51:26.5,7%
8/29/2024,51:25.6,10%
8/29/2024,51:24.7,11%
8/29/2024,51:23.8,13%
8/29/2024,51:23.0,5%
8/29/2024,51:21.9,7%
8/29/2024,51:21.0,13%
8/29/2024,51:20.1,8%
8/29/2024,51:19.2,14%
8/29/2024,51:18.3,13%
8/29/2024,51:17.4,14%
8/29/2024,51:16.5,10%
8/29/2024,51:15.6,8%
8/29/2024,51:14.7,13%
8/29/2024,51:14.0,11%
8/29/2024,51:12.8,7%
8/29/2024,51:11.9,10%
8/29/2024,51:11.0,13%
8/29/2024,51:10.1,9%
8/29/2024,51:09.2,9%
8/29/2024,51:08.3,13%
8/29/2024,51:07.4,7%
8/29/2024,51:06.4,14%
8/29/2024,51:05.5,8%
8/29/2024,51:04.6,11%
8/29/2024,51:03.7,8%
8/29/2024,51:02.8,7%
8/29/2024,51:01.9,7%
8/29/2024,51:01.0,8%
8/29/2024,51:00.2,7%
8/29/2024,50:59.2,6%
8/29/2024,50:58.3,6%
8/29/2024,50:57.3,14%
8/29/2024,50:56.4,7%
8/29/2024,50:55.5,12%
8/29/2024,50:54.6,11%
8/29/2024,50:53.7,7%
8/29/2024,50:52.8,8%
8/29/2024,50:51.9,13%
8/29/2024,50:51.0,10%
8/29/2024,50:50.0,15%
8/29/2024,50:49.1,9%
8/29/2024,50:48.2,5%
8/29/2024,50:47.3,10%
8/29/2024,50:46.4,9%
8/29/2024,50:45.5,12%
8/29/2024,50:44.6,10%
8/29/2024,50:43.7,6%
8/29/2024,50:42.8,6%
8/29/2024,50:41.8,9%
8/29/2024,50:40.9,15%
8/29/2024,50:40.0,15%
8/29/2024,50:39.1,10%
8/29/2024,50:38.2,7%
8/29/2024,50:37.3,14%
8/29/2024,50:36.4,12%
8/29/2024,50:35.5,12%
8/29/2024,50:34.5,6%
8/29/2024,50:33.6,12%
8/29/2024,50:32.9,14%
8/29/2024,50:31.8,9%
8/29/2024,50:30.9,15%
8/29/2024,50:30.0,14%
8/29/2024,50:29.1,9%
8/29/2024,50:28.2,15%
8/29/2024,50:27.3,11%
8/29/2024,50:26.3,13%
8/29/2024,50:25.4,13%
8/29/2024,50:24.5,11%
8/29/2024,50:23.6,10%
8/29/2024,50:22.7,6%
8/29/2024,50:21.8,15%
8/29/2024,50:20.9,5%
8/29/2024,50:20.0,13%
8/29/2024,50:19.1,14%
8/29/2024,50:18.2,10%
8/29/2024,50:17.2,6%
8/29/2024,50:16.3,6%
8/29/2024,50:15.4,13%
8/29/2024,50:14.5,9%
8/29/2024,50:13.6,11%
8/29/2024,50:12.7,6%
8/29/2024,50:11.8,6%
8/29/2024,50:10.9,6%
8/29/2024,50:09.9,6%
8/29/2024,50:09.0,6%
8/29/2024,50:08.1,6%
8/29/2024,50:07.2,14%
8/29/2024,50:06.3,8%
8/29/2024,50:05.4,15%
8/29/2024,50:04.5,7%
8/29/2024,50:03.6,15%
8/29/2024,50:02.6,11%
8/29/2024,50:01.8,9%
8/29/2024,50:00.8,11%
8/29/2024,49:59.9,6%
8/29/2024,49:59.0,9%
8/29/2024,49:58.1,9%
8/29/2024,49:57.2,6%
8/29/2024,49:56.3,13%
8/29/2024,49:55.4,13%
8/29/2024,49:54.4,12%
8/29/2024,49:53.5,14%
8/29/2024,49:52.6,8%
8/29/2024,49:51.7,10%
8/29/2024,49:50.8,15%
8/29/2024,49:49.9,7%
8/29/2024,49:49.0,10%
8/29/2024,49:48.1,14%
8/29/2024,49:47.2,7%
8/29/2024,49:46.3,11%
8/29/2024,49:45.3,9%
8/29/2024,49:44.4,5%
8/29/2024,49:43.5,8%
8/29/2024,49:42.6,15%
8/29/2024,49:41.7,12%
8/29/2024,49:40.8,14%
8/29/2024,49:39.9,13%
8/29/2024,49:39.0,12%
8/29/2024,49:38.0,6%
8/29/2024,49:37.1,5%
8/29/2024,49:36.2,7%
8/29/2024,49:35.3,10%
8/29/2024,49:34.4,10%
8/29/2024,49:33.5,12%
8/29/2024,49:32.6,5%
8/29/2024,49:31.7,13%
8/29/2024,49:30.8,13%
8/29/2024,49:29.8,9%
8/29/2024,49:28.9,12%
8/29/2024,49:28.0,13%
8/29/2024,49:27.1,10%
8/29/2024,49:26.2,6%
8/29/2024,49:25.3,9%
8/29/2024,49:24.4,8%
8/29/2024,49:23.5,10%
8/29/2024,49:22.5,8%
8/29/2024,49:21.6,7%
8/29/2024,49:20.7,7%
8/29/2024,49:19.8,14%
8/29/2024,49:18.9,9%
8/29/2024,49:18.0,10%
8/29/2024,49:17.1,7%
8/29/2024,49:16.2,10%
8/29/2024,49:15.3,14%
8/29/2024,49:14.3,13%
8/29/2024,49:13.4,11%
8/29/2024,49:12.5,14%
8/29/2024,49:11.6,15%
8/29/2024,49:10.7,10%
8/29/2024,49:09.8,14%
8/29/2024,49:08.9,5%
8/29/2024,49:08.0,14%
8/29/2024,49:07.1,5%
8/29/2024,49:06.2,8%
8/29/2024,49:05.3,14%
8/29/2024,49:04.3,15%
8/29/2024,49:03.4,5%
8/29/2024,49:02.5,5%
8/29/2024,49:01.6,9%
8/29/2024,49:00.7,5%
8/29/2024,48:59.8,7%
8/29/2024,48:58.9,8%
8/29/2024,48:57.9,13%
8/29/2024,48:57.1,12%
8/29/2024,48:56.1,15%
8/29/2024,48:55.2,10%
8/29/2024,48:54.3,7%
8/29/2024,48:53.4,11%
8/29/2024,48:52.5,6%
8/29/2024,48:51.6,14%
8/29/2024,48:50.7,9%
8/29/2024,48:49.7,8%
8/29/2024,48:48.8,7%
8/29/2024,48:48.1,15%
8/29/2024,48:47.0,12%
8/29/2024,48:46.1,8%
8/29/2024,48:45.2,8%
8/29/2024,48:44.3,11%
8/29/2024,48:43.4,11%
8/29/2024,48:42.5,7%
8/29/2024,48:41.5,5%
8/29/2024,48:40.6,11%
8/29/2024,48:39.7,5%
8/29/2024,48:38.8,13%
8/29/2024,48:37.9,5%
8/29/2024,48:37.0,9%
8/29/2024,48:36.1,6%
8/29/2024,48:35.2,12%
8/29/2024,48:34.3,8%
8/29/2024,48:33.3,7%
8/29/2024,48:32.4,10%
8/29/2024,48:31.5,13%
8/29/2024,48:30.6,15%
8/29/2024,48:29.7,12%
8/29/2024,48:28.8,12%
8/29/2024,48:27.9,9%
8/29/2024,48:27.0,9%
8/29/2024,48:26.0,7%
8/29/2024,48:25.1,7%
8/29/2024,48:24.2,7%
8/29/2024,48:23.3,11%
8/29/2024,48:22.4,14%
8/29/2024,48:21.5,13%
8/29/2024,48:20.6,7%
8/29/2024,48:19.7,6%
8/29/2024,48:18.7,15%
8/29/2024,48:17.8,11%
8/29/2024,48:16.9,13%
8/29/2024,48:16.0,8%
8/29/2024,48:15.1,5%
8/29/2024,48:14.2,15%
8/29/2024,48:13.5,12%
8/29/2024,48:12.4,13%
8/29/2024,48:11.5,8%
8/29/2024,48:10.5,14%
8/29/2024,48:09.6,5%
8/29/2024,48:08.7,12%
8/29/2024,48:07.8,8%
8/29/2024,48:06.9,11%
8/29/2024,48:06.0,6%
8/29/2024,48:05.1,15%
8/29/2024,48:04.2,9%
8/29/2024,48:03.3,6%
8/29/2024,48:02.4,7%
8/29/2024,48:01.4,6%
8/29/2024,48:00.5,15%
8/29/2024,47:59.6,10%
8/29/2024,47:58.7,6%
8/29/2024,47:57.8,6%
8/29/2024,47:56.9,7%
8/29/2024,47:56.0,12%
8/29/2024,47:55.0,14%
8/29/2024,47:54.1,11%
8/29/2024,47:53.2,10%
8/29/2024,47:52.3,14%
8/29/2024,47:51.4,5%
8/29/2024,47:50.5,15%
8/29/2024,47:49.6,13%
8/29/2024,47:48.7,14%
8/29/2024,47:47.8,11%
8/29/2024,47:39.2,10%
8/29/2024,47:38.3,8%
8/29/2024,47:37.3,14%
8/29/2024,47:36.4,7%
8/29/2024,47:35.5,14%
8/29/2024,47:34.6,11%
8/29/2024,47:33.7,10%
8/29/2024,47:32.8,10%
8/29/2024,47:31.9,15%
8/29/2024,47:31.0,7%
8/29/2024,47:30.0,9%
8/29/2024,47:29.1,7%
8/29/2024,47:28.2,14%
8/29/2024,47:27.3,11%
8/29/2024,47:26.4,7%
8/29/2024,47:25.5,14%
